Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
1475,192.168.10.3-192.168.10.5-88-49160-6,192.168.10.5,49160,192.168.10.3,88,6,03/07/2017 09:08:11,650,7,4,484.0,414.0,233.0,0.0,69.14285714285715,111.9678950584029,207.0,0.0,103.5,119.51150572225254,1381538.4615384615,16923.076923076926,65.0,123.2936873215062,400.0,1.0,650.0,108.33333333333334,204.8713417407781,522.0,1.0,481.0,160.33333333333331,270.7772762499345,473.0,4.0,0,0,0,0,164,104,10769.23076923077,6153.846153846153,0.0,233.0,74.83333333333334,107.52744540419212,11562.151515151514,0,0,0,1,0,0,0,0,0.0,81.63636363636364,69.14285714285714,103.5,164,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOT
1476,192.168.10.3-192.168.10.5-88-49161-6,192.168.10.5,49161,192.168.10.3,88,6,03/07/2017 09:08:11,926,9,4,656.0,3064.0,313.0,0.0,72.8888888888889,136.15381416292058,1532.0,0.0,766.0,884.5006123985067,4017278.6177105834,14038.876889848812,77.16666666666667,199.19147176584246,704.0,1.0,926.0,115.74999999999996,275.774105279769,795.0,1.0,789.0,263.0,448.602273734764,781.0,3.0,0,0,0,0,204,104,9719.222462203024,4319.654427645789,0.0,1532.0,265.7142857142857,547.8425417484942,300131.4505494506,0,0,0,1,0,0,0,0,0.0,286.15384615384613,72.8888888888889,766.0,204,0,0,0,0,0,0,9,656,4,3064,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1477,192.168.10.3-192.168.10.5-88-49162-6,192.168.10.5,49162,192.168.10.3,88,6,03/07/2017 09:08:11,1114,9,7,3180.0,3104.0,1575.0,0.0,353.33333333333326,692.6245375381961,1543.0,0.0,443.4285714285714,751.1550787826387,5640933.572710952,14362.65709156194,74.26666666666667,198.94524252620246,790.0,2.0,1114.0,139.25,316.4281683325392,919.0,2.0,1052.0,175.33333333333331,302.9367370700798,790.0,3.0,0,0,0,0,204,164,8078.994614003591,6283.66247755835,0.0,1575.0,369.6470588235293,680.0907054555729,462523.3676470589,0,0,0,1,0,0,0,0,0.0,392.75,353.33333333333326,443.4285714285714,204,0,0,0,0,0,0,9,3180,7,3104,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1478,192.168.10.3-192.168.10.5-88-49163-6,192.168.10.5,49163,192.168.10.3,88,6,03/07/2017 09:08:11,544,7,4,2780.0,2820.0,1381.0,0.0,397.1428571428572,672.1077365451238,1410.0,0.0,705.0,814.0638795573723,1.0294117647058824E7,20220.58823529412,54.4,102.18088536185884,335.0,1.0,544.0,90.66666666666666,164.66653171384485,422.0,1.0,420.0,140.0,236.4254639415983,413.0,3.0,0,0,0,0,164,104,12867.64705882353,7352.941176470588,0.0,1410.0,466.66666666666663,686.049075018204,470663.33333333343,0,0,0,1,0,0,0,0,0.0,509.09090909090907,397.1428571428572,705.0,164,0,0,0,0,0,0,7,2780,4,2820,8192,2053,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1480,192.168.10.3-192.168.10.5-88-49165-6,192.168.10.5,49165,192.168.10.3,88,6,03/07/2017 09:08:11,967,9,6,3206.0,3118.0,1588.0,0.0,356.2222222222223,698.3569606185968,1553.0,0.0,519.6666666666666,800.4210558616425,6539813.857290589,15511.892450879008,69.07142857142857,181.0416289933656,694.0,1.0,967.0,120.875,273.1903771051556,794.0,1.0,874.0,174.8,294.35301934921614,694.0,3.0,0,0,0,0,204,144,9307.135470527404,6204.756980351604,0.0,1588.0,395.25000000000006,700.8469637992782,491186.46666666673,0,0,0,1,0,0,0,0,0.0,421.6,356.22222222222223,519.6666666666666,204,0,0,0,0,0,0,9,3206,6,3118,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1481,192.168.10.3-192.168.10.5-389-49164-6,192.168.10.5,49164,192.168.10.3,389,6,03/07/2017 09:08:11,4153,13,9,4184.0,5700.0,1684.0,0.0,321.8461538461538,617.3860011038267,2634.0,0.0,633.3333333333334,930.4638628125224,2379966.2894293284,5297.37539128341,197.76190476190484,469.8280435182541,2040.0,1.0,4153.0,346.08333333333337,660.0833911963953,2040.0,1.0,3110.0,388.75,770.4823628277103,2256.0,1.0,0,0,0,0,284,204,3130.2672766674696,2167.1081146159404,0.0,2634.0,429.73913043478274,744.9573640875702,554961.4743083004,0,0,0,1,0,0,0,0,0.0,449.27272727272725,321.84615384615387,633.3333333333334,284,0,0,0,0,0,0,13,4184,9,5700,8192,2053,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOT
1482,192.168.10.3-192.168.10.5-88-49167-6,192.168.10.5,49167,192.168.10.3,88,6,03/07/2017 09:08:11,590,7,4,484.0,414.0,233.0,0.0,69.14285714285715,111.9678950584029,207.0,0.0,103.5,119.51150572225254,1522033.8983050846,18644.06779661017,59.0,107.24426946617396,353.0,1.0,590.0,98.33333333333334,169.97372345944143,442.0,1.0,459.0,153.0,221.97972880423114,408.0,3.0,0,0,0,0,164,104,11864.406779661016,6779.6610169491505,0.0,233.0,74.83333333333334,107.52744540419212,11562.151515151514,0,0,0,1,0,0,0,0,0.0,81.63636363636364,69.14285714285714,103.5,164,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1484,192.168.10.3-192.168.10.5-88-49168-6,192.168.10.5,49168,192.168.10.3,88,6,03/07/2017 09:08:11,890,9,4,654.0,3064.0,312.0,0.0,72.66666666666667,135.71293232407882,1532.0,0.0,766.0,884.5006123985067,4177528.089887641,14606.741573033709,74.16666666666666,188.53638825693488,669.0,0.0,890.0,111.25,231.95797033083386,682.0,1.0,786.0,262.0,407.57330628980105,732.0,6.0,0,0,0,0,204,104,10112.359550561798,4494.38202247191,0.0,1532.0,265.57142857142856,547.8293830811132,300117.03296703286,0,0,0,1,0,0,0,0,0.0,286.0,72.66666666666667,766.0,204,0,0,0,0,0,0,9,654,4,3064,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1485,192.168.10.3-192.168.10.5-88-49169-6,192.168.10.5,49169,192.168.10.3,88,6,03/07/2017 09:08:11,981,9,6,3206.0,3118.0,1588.0,0.0,356.2222222222223,698.3569606185968,1553.0,0.0,519.6666666666666,800.4210558616425,6446483.180428134,15290.519877675839,70.07142857142857,179.00514143269925,688.0,1.0,981.0,122.625,259.98348161813226,763.0,1.0,883.0,176.6,290.9541200945606,688.0,4.0,0,0,0,0,204,144,9174.311926605504,6116.207951070336,0.0,1588.0,395.25000000000006,700.8469637992782,491186.46666666673,0,0,0,1,0,0,0,0,0.0,421.6,356.22222222222223,519.6666666666666,204,0,0,0,0,0,0,9,3206,6,3118,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1486,192.168.10.3-192.168.10.5-88-49171-6,192.168.10.5,49171,192.168.10.3,88,6,03/07/2017 09:08:11,1026,9,6,3158.0,3058.0,1564.0,0.0,350.8888888888888,687.7740261969124,1523.0,0.0,509.66666666666663,784.929211245617,6058479.532163743,14619.883040935672,73.28571428571429,186.11800581327992,716.0,1.0,1026.0,128.25,286.05681253904794,832.0,1.0,939.0,187.8,302.8468259698292,716.0,3.0,0,0,0,0,204,144,8771.929824561403,5847.953216374269,0.0,1564.0,388.50000000000006,688.7953735810561,474439.0666666665,0,0,0,1,0,0,0,0,0.0,414.4,350.88888888888886,509.66666666666674,204,0,0,0,0,0,0,9,3158,6,3058,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1487,192.168.10.3-192.168.10.5-88-49173-6,192.168.10.5,49173,192.168.10.3,88,6,03/07/2017 09:08:12,1170,9,6,3180.0,3098.0,1575.0,0.0,353.33333333333326,692.6245375381961,1543.0,0.0,516.3333333333334,795.2571072720235,5365811.965811966,12820.51282051282,83.57142857142857,218.93754440855582,841.0,3.0,1170.0,146.25,329.47566569583597,958.0,3.0,1058.0,211.6,357.76430788998505,841.0,3.0,0,0,0,0,204,144,7692.307692307691,5128.205128205128,0.0,1575.0,392.375,695.6948445020032,483991.3166666667,0,0,0,1,0,0,0,0,0.0,418.53333333333336,353.33333333333326,516.3333333333334,204,0,0,0,0,0,0,9,3180,6,3098,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
